序号,名称,介绍,招生简章
188,邢台医学高等专科学校,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1357.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1357.dhtml
189,河北软件职业技术学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1031.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1031.dhtml
190,河北建材职业技术学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1042.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1042.dhtml
191,河北政法职业学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1052.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1052.dhtml
192,沧州职业技术学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1054.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1054.dhtml
193,河北能源职业技术学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1055.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1055.dhtml
194,石家庄铁路职业技术学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1057.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1057.dhtml
195,保定职业技术学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1087.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1087.dhtml
196,秦皇岛职业技术学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1254.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1254.dhtml
197,石家庄工程职业学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1263.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1263.dhtml
198,石家庄城市经济职业学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1264.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1264.dhtml
199,河北传媒学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1265.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1265.dhtml
200,唐山职业技术学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1266.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1266.dhtml
